Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
2Z9LNS6T,webpage,,"Experience, World Leaders in Research-Based User",How People Read Online: New and Old Findings,Nielsen Norman Group,,,,https://www.nngroup.com/articles/how-people-read-online/,"Looking back at findings from a series of eyetracking studies over 13 years, we see that fundamental scanning behaviors remain constant, even as designs change.",,28/12/2020 17:51,28/12/2020 17:55,28/12/2020 17:51,,,,,,,How People Read Online,,,,,,,en,,,,,,,,,/Users/markberthelemy/Zotero/storage/F6NAQPRL/how-people-read-online.html,,User experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JH9FZMG8,webpage,,gov.uk,Agile delivery - Service Manual,GOV.UK,,,,https://www.gov.uk/service-manual/agile-delivery,"How to work in an agile way: principles, tools and governance.",,28/12/2020 17:52,28/12/2020 20:32,28/12/2020 17:52,,,,,,,,,,,,,,en,,,,,,,,,/Users/markberthelemy/Zotero/storage/WCAJZNFD/agile-delivery.html,,Agile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES4DR395,webpage,2020,,Jekyll documentation,"Jekyll - Simple, blog-aware, static sites",,,,https://jekyllrb.com/,"Jekyll is a static site generator. It takes text written in your favorite markup language and uses layouts to create a static website. You can tweak the site's look and feel, URLs, the data displayed on the page, and more.",16/12/2020,28/12/2020 17:56,28/12/2020 21:54,28/12/2020 17:56,,,,,,,,,,,,,,en-US,,,,,,,,,/Users/markberthelemy/Zotero/storage/DFKT7Y4Q/docs.html,,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BYZETSVR,webpage,2012,"Maurya, Ash",Running Lean Book,,,,,https://leanstack.com/scaling-lean-book,Master the Key Metrics for Startup Growth,09/03/2012,28/12/2020 17:57,28/12/2020 17:59,28/12/2020 17:57,,,,,,,,,,,,,,,,,,,,,,,/Users/markberthelemy/Zotero/storage/WKCB6IUV/running-lean-book.html,,Lean; Product management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PNUEF7Z6,webpage,,,Creative Commons,Creative Commons,,,,https://creativecommons.org/,,,28/12/2020 18:00,28/12/2020 21:45,28/12/2020 18:00,,,,,,,,,,,,,,en-US,,,,,,,,<p>Creative Commons is a global nonprofit organization that enables sharing and reuse of creativity and knowledge through the provision of free legal tools.�</p>,/Users/markberthelemy/Zotero/storage/I97ZWIRB/creativecommons.org.html,,Open source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAX33EXP,webpage,,,Cellular data coverage,nPerf,,,,https://cdn.nperf.com/en/map,Data coverage maps for countries around the world,,28/12/2020 18:02,28/12/2020 18:10,28/12/2020 18:02,,,,,,,,,,,,,,,,,,,,,,,/Users/markberthelemy/Zotero/storage/D9R5TXJD/signal.html,,Global internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDTCLR4S,webpage,,,Alliance for Affordable Internet,Alliance for Affordable Internet,,,,https://a4ai.org/,A global coalition working to make broadband affordable for all,,28/12/2020 18:04,28/12/2020 18:05,28/12/2020 18:04,,,,,,,,,,,,,,en-US,,,,,,,,,/Users/markberthelemy/Zotero/storage/9QDRN2W7/a4ai.org.html,,Global internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6XV6IGR,webpage,,,What is Visual Hierarchy?,The Interaction Design Foundation,,,,https://www.interaction-design.org/literature/topics/visual-hierarchy,Visual hierarchy is the principle of arranging elements to show their order of importance.,,28/12/2020 18:14,28/12/2020 21:53,28/12/2020 18:14,,,,,,,,,,,,,,en,,,,,,,,,/Users/markberthelemy/Zotero/storage/TZCUYNJV/visual-hierarchy.html,,User experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YHLUFRPL,webpage,,"Smith, Mark, K.",InfEd Index of articles,InfEd,,,,https://infed.org/mobi/main-index/,"A space for people to explore education, pedagogy, learning, community-building and change - and in particular the theory and practice of informal education, social pedagogy, community learning and development, specialist education, and lifelong learning.",,28/12/2020 19:32,28/12/2020 22:05,28/12/2020 19:32,,,,,,,index � infed.org,,,,,,,en-GB,,,,,,,,,/Users/markberthelemy/Zotero/storage/EFWPAWFI/main-index.html,,Education; Learning design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DI2VRBLU,webpage,2005,"Downes, Stephen",Some Principles of Effective E-Learning,Stephen's Web,,,,https://www.downes.ca/post/13,The features that distinguished successful from unsuccessful e-learning,26/04/2005,28/12/2020 19:35,28/12/2020 19:40,28/12/2020 19:35,,,,,,,,,,,,,,,,,,,,,,,/Users/markberthelemy/Zotero/storage/6LTLQ92B/13.html,,Learning design; User experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EKS6IRRZ,webpage,,,Moodle docs,Moodle Docs,,,,https://docs.moodle.org,Moodle documentation and support,,28/12/2020 19:41,29/12/2020 16:49,28/12/2020 19:41,,,,,,,,,,,,,,,,,,,,,,,/Users/markberthelemy/Zotero/storage/HRV2CCKA/Main_page.html,,Learning platforms; Moodle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86EDKSMX,webpage,,,Moodle Database Schema,,,,,https://www.examulator.com/er/,,,28/12/2020 19:42,29/12/2020 16:49,28/12/2020 19:42,,,,,,,,,,,,,,,,,,,,,,<p>A useful site which allows you to explore the Moodle database and the relationships between the tables.</p>,/Users/markberthelemy/Zotero/storage/L6HPCNDU/er.html,,Learning platforms; Moodle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J579YFSY,webpage,,,DataTables | Table plug-in for jQuery,,,,,https://datatables.net/,,,28/12/2020 19:46,28/12/2020 19:46,28/12/2020 19:46,,,,,,,,,,,,,,,,,,,,,,,/Users/markberthelemy/Zotero/storage/MCBVF3FK/datatables.net.html,,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
